ConcessionariaRodoviakm,Concessionaria,kmmt,Rodovia,Longitude,Latitude
Régis Bittencourt.CW-BR116.0.0,Régis Bittencourt,0,CW-BR116,-49.04908504,-25.34755964
Régis Bittencourt.CW-BR116.0.1,Régis Bittencourt,0.1,CW-BR116,-49.04954836,-25.34772426
Régis Bittencourt.CW-BR116.0.2,Régis Bittencourt,0.2,CW-BR116,-49.05001169,-25.34788888
Régis Bittencourt.CW-BR116.0.3,Régis Bittencourt,0.3,CW-BR116,-49.05047502,-25.34805349
Régis Bittencourt.CW-BR116.0.4,Régis Bittencourt,0.4,CW-BR116,-49.05093834,-25.34821811
Régis Bittencourt.CW-BR116.0.5,Régis Bittencourt,0.5,CW-BR116,-49.05140167,-25.34838273
Régis Bittencourt.CW-BR116.0.6,Régis Bittencourt,0.6,CW-BR116,-49.05209666,-25.34862965
Régis Bittencourt.CW-BR116.0.7,Régis Bittencourt,0.7,CW-BR116,-49.05232832,-25.34871196
Régis Bittencourt.CW-BR116.0.8,Régis Bittencourt,0.8,CW-BR116,-49.05279165,-25.34887658
Fernão Dias.MG-BR381.487.0,Fernão Dias,487,MG-BR381,-44.11511696,-19.95542379
Fernão Dias.MG-BR381.486.9,Fernão Dias,486.9,MG-BR381,-44.11446989,-19.95546972
Fernão Dias.MG-BR381.486.8,Fernão Dias,486.8,MG-BR381,-44.11326825,-19.955555
Fernão Dias.MG-BR381.487.1,Fernão Dias,487.1,MG-BR381,-44.11643795,-19.95556631
Fernão Dias.MG-BR381.486.7,Fernão Dias,486.7,MG-BR381,-44.11267674,-19.95559698
Fernão Dias.MG-BR381.487.2,Fernão Dias,487.2,MG-BR381,-44.1168673,-19.95565394
Fernão Dias.MG-BR381.485.1,Fernão Dias,485.1,MG-BR381,-44.09743776,-19.9556861
Fernão Dias.MG-BR381.486.6,Fernão Dias,486.6,MG-BR381,-44.11141954,-19.95568621
Fernão Dias.MG-BR381.485.2,Fernão Dias,485.2,MG-BR381,-44.09793199,-19.95570615
