Concessionaria,Rodovia,Praca,Praça,km_Praca,Inicio,Fim
Fernão Dias,SP-BR381,1,Praça 01,66.8,36,92
Fernão Dias,SP-BR381,2,Praça 02,7.3,0,37
Fernão Dias,MG-BR381,2,Praça 02,7.3,933,950
Fernão Dias,MG-BR381,3,Praça 03,902.63,854,933
Fernão Dias,MG-BR381,4,Praça 04,804.88,769,854
Fernão Dias,MG-BR381,5,Praça 05,733.74,696,769
Fernão Dias,MG-BR381,6,Praça 06,659,628,696
Fernão Dias,MG-BR381,7,Praça 07,597,571,628
Fernão Dias,MG-BR381,8,Praça 08,546,474,571
Litoral Sul,BR116,1,Praça 01,635.3,70,116
Litoral Sul,BR376,1,Praça 01,635.3,613,659.325
Litoral Sul,BR376,2,Praça 02,1.35,659.325,683
Litoral Sul,BR101,2,Praça 02,1.35,0,40.325
Litoral Sul,BR101,3,Praça 03,79.3,40.325,118.35
Litoral Sul,BR101,4,Praça 04,157.4,118.35,200.2
Litoral Sul,BR101,5,Praça 05,243,200.2,246
Régis Bittencourt,CW-BR116,6,Praça 06,57.1,0,18
Régis Bittencourt,SP-BR116,1,Praça 01,298.8,267,334.6
Régis Bittencourt,SP-BR116,2,Praça 02,370.4,334.6,398.5
Régis Bittencourt,SP-BR116,3,Praça 03,426.6,398.5,456.15
Régis Bittencourt,SP-BR116,4,Praça 04,485.7,456.15,514.3
Régis Bittencourt,SP-BR116,5,Praça 05,542.9,514.3,563.4
Régis Bittencourt,SP-BR116,6,Praça 06,57.1,563.4,570
Régis Bittencourt,PR-BR116,6,Praça 06,57.1,0,73
