Placa,Ano,Modelo
APR1935,1995,LS
FEB1978,2007,PAJERO
APR1984,2003,ASTRA
MAR2023,1998,KADETT
AUG1960,2010,FIESTA
AUG2023,2008,FOX
MAR1960,1996,R113
MAY1964,2000,NH12380
FEB1936,2012,PALIO
JUL1999,2001,CG
AUG1953,2011,GOL
MAR1941,2006,CLASSIC
AUG1969,2010,CELTA
DEC1987,2001,CORSA
DEC1994,2001,GOLF
APR1961,2007,KOMBI
APR2023,2007,BLAZER
APR1944,2007,C4
APR1953,2008,FIESTA
MAY2023,2000,SRBA
MAY1981,2000,ASTRA
DEC1977,2001,GOL
MAY1979,2002,CARGO
MAR1984,2006,FUSION
FEB1963,2013,NOVO
AUG1985,2011,VW
MAR1988,2006,CLASSIC
JUN2023,2004,ZAFIRA
MAY1965,2000,LS
DEC1962,2001,BRAVA
FEB1962,2012,SANDERO
APR1975,2009,STRALIS
MAR1946,2006,SIENA
APR1948,2008,MERIVA
MAR1962,2006,NX-4
MAY1945,2000,T124
FEB1953,2012,MARCH
AUG1979,2011,UNO
MAY1984,2000,R124
FEB2023,2012,MARCH
FEB1931,2012,GOL
DEC1948,2001,SIENA
MAY1956,1999,L
DEC1971,2016,VW
MAY1976,1999,L
MAY1942,2000,CG
DEC1952,2001,XSARA
APR1934,2008,STRADA
MAY1985,2000,FIESTA
FEB1948,2012,MONTANA
OCT1966,2020,BIZ
FEB1975,2012,LOGAN
AUG1996,2011,KIA
MAR1990,1996,CORSA
DEC2023,2001,CELTA
DEC1993,2001,MAREA
DEC1955,2001,UNO
FEB1951,2012,UNO
FEB1956,2012,NOVO
FEB1961,2013,CHEVROLET
FEB1980,2012,PALIO
FEB1985,2012,FOX
FEB1991,2012,PALIO
FEB1947,2012,MAHINDRA
APR1977,2009,STRALISHD
FEB1989,2013,CRUZE
FEB1990,2013,ECOSPORT
APR1999,2009,STRALISHD
FEB1933,2013,PRISMA
FEB1942,2013,POLO
FEB1954,2013,PALIO
APR1998,2008,CG
FEB2000,2014,VERSA
MAR1944,2006,P114GA4X2NZ
APR1991,2007,SCENIC
MAY1986,1999,CARGO
DEC1997,2001,FOCUS
APR1966,2009,STRALIS
MAY1955,2000,R124
MAY1972,1999,UNO
MAR2000,1996,PALIO
APR1994,2007,BANDIT
MAY1962,1998,HP
APR1980,2008,CROSSFOX
MAR1995,2006,FUSION
FEB1943,2012,FIESTA
MAR1963,2006,P114GA4X2NZ
APR1965,2008,STILO
AUG1947,2011,CORSA
AUG1978,2011,KGOO
APR1997,2008,PRISMA
MAY1975,2000,LS
APR1978,2007,PICASSO
MAR1992,2006,FIT
APR1969,2007,TRACKER
AUG1988,2011,STRADA
MAR1935,2006,P114GA4X2NZ
MAR1991,2006,CELTA
JUN2000,1996,GOL
MAY1936,1999,UNO
MAY1940,1996,SANTANA
APR1958,2007,FAZER
DEC1978,2001,ASTRA
AUG1949,2011,GOL
MAR1939,2006,CARGO
AUG1944,2011,SENTRA
MAY1994,2000,NH12380
APR1995,2008,CARRESUL
DEC1956,2001,ASTRA
MAR1936,2006,ZAFIRA
APR1931,2007,STRALISHD
AUG1938,2011,HILUX
FEB1994,2012,FIESTA
DEC1992,2001,GOL
DEC1934,2001,PALIO
AUG1956,2011,MERIVA
FEB1966,2012,19.33
AUG1982,2013,VM330
MAY1958,1998,CORSA
JUL1993,2005,1938
FEB1950,2015,BIZ
AUG1965,2011,P
DEC1967,2001,GOL
APR1996,2008,LS
APR1985,2007,BANDIT
MAR1947,2006,C3
AUG1980,2011,VOYAGE
AAA0054,1990,KADETT SL
AAA0308,1981,F4000
AAA0330,1990,UNO
AAA0469,1997,TAURUS LX
AAA0560,1992,SAVEIRO GL 1.8
AAA0585,1996,ESPERO
AAA0639,1997,PALIO
AAA0700,1989,ESCORT
AAA1175,1996,VW
AAA1234,1988,CHEVROLET D20 CUSTOM
AAA1280,1996,TEMPRA
AAA1418,1989,L
AAA1614,1990,L
AAA1691,1997,PALIO EL
AAA2250,1996,PASSAT
AAA2253,2005,PALIO
AAA2546,2005,IDEA
AAA2782,2006,ASTRA
AAA3265,2006,KOMBI
AAA3309,2006,COROLLA
AAA3558,2006,CIVIC
AAA3560,1998,ASTRA GL
AAA3624,2007,ECOSPORT
AAA3727,2005,FIT
AAA3806,2007,307
AAA3865,2007,LS
AAA3867,2007,LS
AAA3879,2007,LS
AAA3981,2008,MERIVA
AAA4167,2008,ASTRA
AAA4552,2006,MEGANEGT
AAA4660,1996,ELBA
AAA5091,2008,VW
AAA5721,2009,PALIO
AAA5953,2004,C8
AAA5972,2009,LOGAN
AAA6025,2006,ATEGO
AAA6225,2007,ECOSPORT
AAA6234,2007,VECTRA
AAA6593,2009,HR
AAA6908,2008,AZERA
