concessionaria;mes_ano;sentido;praca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
RODOVIA DO AÇO;01-01-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;44146;1;44146
RODOVIA DO AÇO;01-01-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;35771;1;35771
RODOVIA DO AÇO;01-02-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33455;1;33455
RODOVIA DO AÇO;01-02-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;27109;1;27109
RODOVIA DO AÇO;01-03-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31677;1;31677
RODOVIA DO AÇO;01-03-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;25667;1;25667
RODOVIA DO AÇO;01-04-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;34521;1;34521
RODOVIA DO AÇO;01-04-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;27972;1;27972
RODOVIA DO AÇO;01-05-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;34066;1;34066
RODOVIA DO AÇO;01-05-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;27604;1;27604
RODOVIA DO AÇO;01-06-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;35095;1;35095
RODOVIA DO AÇO;01-06-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;28437;1;28437
RODOVIA DO AÇO;01-07-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;41319;1;41319
RODOVIA DO AÇO;01-07-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33481;1;33481
RODOVIA DO AÇO;01-08-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;36136;1;36136
RODOVIA DO AÇO;01-08-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;29281;1;29281
RODOVIA DO AÇO;01-09-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;37243;1;37243
RODOVIA DO AÇO;01-09-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30178;1;30178
RODOVIA DO AÇO;01-10-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;37518;1;37518
RODOVIA DO AÇO;01-10-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30401;1;30401
RODOVIA DO AÇO;01-11-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;35193;1;35193
RODOVIA DO AÇO;01-11-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;28517;1;28517
RODOVIA DO AÇO;01-12-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;47553;1;47553
RODOVIA DO AÇO;01-12-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;38532;1;38532
RODOVIA DO AÇO;01-01-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6095;2;12190
RODOVIA DO AÇO;01-01-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5943;2;11886
RODOVIA DO AÇO;01-02-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5523;2;11046
RODOVIA DO AÇO;01-02-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5385;2;10770
RODOVIA DO AÇO;01-03-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6603;2;13206
RODOVIA DO AÇO;01-03-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6437;2;12874
RODOVIA DO AÇO;01-04-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6053;2;12106
RODOVIA DO AÇO;01-04-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5901;2;11802
RODOVIA DO AÇO;01-05-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6194;2;12388
RODOVIA DO AÇO;01-05-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6039;2;12078
RODOVIA DO AÇO;01-06-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6131;2;12262
RODOVIA DO AÇO;01-06-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5977;2;11954
RODOVIA DO AÇO;01-07-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6442;2;12884
RODOVIA DO AÇO;01-07-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6281;2;12562
RODOVIA DO AÇO;01-08-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6485;2;12970
RODOVIA DO AÇO;01-08-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6322;2;12644
RODOVIA DO AÇO;01-09-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6293;2;12586
RODOVIA DO AÇO;01-09-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6136;2;12272
RODOVIA DO AÇO;01-10-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6543;2;13086
RODOVIA DO AÇO;01-10-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6379;2;12758
RODOVIA DO AÇO;01-11-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6532;2;13064
RODOVIA DO AÇO;01-11-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6368;2;12736
RODOVIA DO AÇO;01-12-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;7175;2;14350
RODOVIA DO AÇO;01-12-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6995;2;13990
RODOVIA DO AÇO;01-01-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;104;1,5;156
RODOVIA DO AÇO;01-01-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;147;1,5;220,5
RODOVIA DO AÇO;01-02-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;89;1,5;133,5
RODOVIA DO AÇO;01-02-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;127;1,5;190,5
RODOVIA DO AÇO;01-03-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;95;1,5;142,5
RODOVIA DO AÇO;01-03-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;134;1,5;201
RODOVIA DO AÇO;01-04-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;81;1,5;121,5
RODOVIA DO AÇO;01-04-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;114;1,5;171
RODOVIA DO AÇO;01-05-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;106;1,5;159
RODOVIA DO AÇO;01-05-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;151;1,5;226,5
RODOVIA DO AÇO;01-06-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;96;1,5;144
RODOVIA DO AÇO;01-06-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;135;1,5;202,5
RODOVIA DO AÇO;01-07-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;125;1,5;187,5
RODOVIA DO AÇO;01-07-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;176;1,5;264
RODOVIA DO AÇO;01-08-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;132;1,5;198
RODOVIA DO AÇO;01-08-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;187;1,5;280,5
RODOVIA DO AÇO;01-09-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;127;1,5;190,5
RODOVIA DO AÇO;01-09-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;180;1,5;270
RODOVIA DO AÇO;01-10-2010;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;144;1,5;216
RODOVIA DO AÇO;01-10-2010;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;203;1,5;304,5
