concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 1";"Passeio";873102.00;1.00;873102.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 1";"Passeio";805750.00;1.00;805750.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 2";"Comercial";54961.00;2.00;109922.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 2";"Comercial";51814.00;2.00;103628.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 3";"Passeio";1585.00;1.50;2377.50
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 3";"Passeio";1461.00;1.50;2191.50
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 4";"Comercial";53322.00;3.00;159966.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 4";"Comercial";53056.00;3.00;159168.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 5";"Passeio";138.00;2.00;276.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 5";"Passeio";117.00;2.00;234.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 6";"Comercial";9307.00;4.00;37228.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 6";"Comercial";9242.00;4.00;36968.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 7";"Comercial";23440.00;5.00;117200.00
